date_time,temperature,time_int
1969-12-31 19:00:00,81.37,0
1969-12-31 19:00:01,70.9,1
1969-12-31 19:00:02,83.3,2
1969-12-31 19:00:03,5.59,3
1969-12-31 19:00:04,13.91,4
1969-12-31 19:00:05,41.66,5
1969-12-31 19:00:06,68.26,6
1969-12-31 19:00:07,12.39,7
1969-12-31 19:00:08,14.78,8
1969-12-31 19:00:09,31.42,9
1969-12-31 19:00:10,58.64,10
1969-12-31 19:00:11,54.01,11
1969-12-31 19:00:12,31.89,12
1969-12-31 19:00:13,78.33,13
1969-12-31 19:00:14,49.03,14
1969-12-31 19:00:15,37.9,15
1969-12-31 19:00:16,66.03,16
1969-12-31 19:00:17,0.62,17
1969-12-31 19:00:18,97.01,18
1969-12-31 19:00:19,7.02,19
1969-12-31 19:00:20,14.17,20
1969-12-31 19:00:21,25.01,21
1969-12-31 19:00:22,98.4,22
1969-12-31 19:00:23,46.99,23
1969-12-31 19:00:24,50.96,24
1969-12-31 19:00:25,13.54,25
1969-12-31 19:00:26,67.28,26
1969-12-31 19:00:27,24.27,27
1969-12-31 19:00:28,10.5,28
1969-12-31 19:00:29,9.58,29
1969-12-31 19:00:30,50.12,30
1969-12-31 19:00:31,79.56,31
1969-12-31 19:00:32,98.89,32
1969-12-31 19:00:33,8.2,33
1969-12-31 19:00:34,74.88,34
1969-12-31 19:00:35,35.52,35
1969-12-31 19:00:36,8.04,36
1969-12-31 19:00:37,39.26,37
1969-12-31 19:00:38,58.77,38
1969-12-31 19:00:39,99.52,39
1969-12-31 19:00:40,90.18,40
1969-12-31 19:00:41,97.21,41
1969-12-31 19:00:42,49.35,42
1969-12-31 19:00:43,93.11,43
1969-12-31 19:00:44,28.14,44
1969-12-31 19:00:45,1.94,45
1969-12-31 19:00:46,7.28,46
1969-12-31 19:00:47,91.37,47
1969-12-31 19:00:48,21.05,48
1969-12-31 19:00:49,56.31,49
1969-12-31 19:00:50,46.57,50
1969-12-31 19:00:51,95.12,51
1969-12-31 19:00:52,60.07,52
1969-12-31 19:00:53,35.34,53
1969-12-31 19:00:54,34.35,54
1969-12-31 19:00:55,70.66,55
1969-12-31 19:00:56,49.61,56
1969-12-31 19:00:57,2.58,57
1969-12-31 19:00:58,91.82,58
1969-12-31 19:00:59,92.44,59
1969-12-31 19:01:00,33.88,60
1969-12-31 19:01:01,89.61,61
1969-12-31 19:01:02,78.18,62
1969-12-31 19:01:03,38.24,63
1969-12-31 19:01:04,18.27,64
1969-12-31 19:01:05,93.66,65
1969-12-31 19:01:06,14.34,66
1969-12-31 19:01:07,14.97,67
1969-12-31 19:01:08,40.61,68
1969-12-31 19:01:09,90.76,69
1969-12-31 19:01:10,31.51,70
1969-12-31 19:01:11,84.48,71
1969-12-31 19:01:12,73.29,72
1969-12-31 19:01:13,85.24,73
1969-12-31 19:01:14,94.98,74
1969-12-31 19:01:15,13.31,75
1969-12-31 19:01:16,43.63,76
1969-12-31 19:01:17,14.99,77
1969-12-31 19:01:18,27.41,78
1969-12-31 19:01:19,71.65,79
1969-12-31 19:01:20,46.34,80
1969-12-31 19:01:21,25.09,81
1969-12-31 19:01:22,22.27,82
1969-12-31 19:01:23,90.65,83
1969-12-31 19:01:24,28.35,84
1969-12-31 19:01:25,15.42,85
1969-12-31 19:01:26,11.07,86
1969-12-31 19:01:27,63.94,87
1969-12-31 19:01:28,21.01,88
1969-12-31 19:01:29,98.76,89
1969-12-31 19:01:30,83.47,90
1969-12-31 19:01:31,18.18,91
1969-12-31 19:01:32,47.06,92
1969-12-31 19:01:33,16.72,93
1969-12-31 19:01:34,32.35,94
1969-12-31 19:01:35,88.7,95
1969-12-31 19:01:36,52.66,96
1969-12-31 19:01:37,97.44,97
1969-12-31 19:01:38,11.86,98
1969-12-31 19:01:39,75.76,99
1969-12-31 19:01:40,71.32,100
1969-12-31 19:01:41,62.19,101
1969-12-31 19:01:42,99.81,102
1969-12-31 19:01:43,17.62,103
1969-12-31 19:01:44,16.32,104
1969-12-31 19:01:45,63.39,105
1969-12-31 19:01:46,10.39,106
1969-12-31 19:01:47,49.16,107
1969-12-31 19:01:48,26.07,108
1969-12-31 19:01:49,86.22,109
1969-12-31 19:01:50,2.0,110
1969-12-31 19:01:51,23.39,111
1969-12-31 19:01:52,2.24,112
1969-12-31 19:01:53,9.63,113
1969-12-31 19:01:54,49.44,114
1969-12-31 19:01:55,36.96,115
1969-12-31 19:01:56,86.35,116
1969-12-31 19:01:57,35.84,117
1969-12-31 19:01:58,29.87,118
1969-12-31 19:01:59,5.1,119
1969-12-31 19:02:00,15.8,120
1969-12-31 19:02:01,1.55,121
1969-12-31 19:02:02,27.46,122
1969-12-31 19:02:03,3.68,123
1969-12-31 19:02:04,75.72,124
1969-12-31 19:02:05,4.83,125
1969-12-31 19:02:06,34.11,126
1969-12-31 19:02:07,94.37,127
1969-12-31 19:02:08,68.01,128
1969-12-31 19:02:09,82.14,129
1969-12-31 19:02:10,5.51,130
1969-12-31 19:02:11,26.18,131
1969-12-31 19:02:12,37.96,132
1969-12-31 19:02:13,23.15,133
1969-12-31 19:02:14,77.18,134
1969-12-31 19:02:15,59.25,135
1969-12-31 19:02:16,62.52,136
1969-12-31 19:02:17,31.04,137
1969-12-31 19:02:18,66.56,138
1969-12-31 19:02:19,55.9,139
1969-12-31 19:02:20,50.81,140
1969-12-31 19:02:21,55.44,141
1969-12-31 19:02:22,72.35,142
1969-12-31 19:02:23,60.44,143
1969-12-31 19:02:24,63.72,144
1969-12-31 19:02:25,35.44,145
1969-12-31 19:02:26,46.37,146
1969-12-31 19:02:27,55.29,147
1969-12-31 19:02:28,27.45,148
1969-12-31 19:02:29,3.61,149
1969-12-31 19:02:30,16.94,150
1969-12-31 19:02:31,48.13,151
1969-12-31 19:02:32,94.6,152
1969-12-31 19:02:33,56.26,153
1969-12-31 19:02:34,12.57,154
1969-12-31 19:02:35,33.25,155
1969-12-31 19:02:36,76.73,156
1969-12-31 19:02:37,67.56,157
1969-12-31 19:02:38,0.12,158
1969-12-31 19:02:39,62.89,159
1969-12-31 19:02:40,51.34,160
1969-12-31 19:02:41,94.04,161
1969-12-31 19:02:42,54.46,162
1969-12-31 19:02:43,72.8,163
1969-12-31 19:02:44,43.75,164
1969-12-31 19:02:45,48.73,165
1969-12-31 19:02:46,41.47,166
1969-12-31 19:02:47,53.11,167
1969-12-31 19:02:48,93.62,168
1969-12-31 19:02:49,60.15,169
1969-12-31 19:02:50,94.59,170
1969-12-31 19:02:51,32.34,171
1969-12-31 19:02:52,55.13,172
1969-12-31 19:02:53,8.7,173
1969-12-31 19:02:54,99.97,174
1969-12-31 19:02:55,24.59,175
1969-12-31 19:02:56,67.04,176
1969-12-31 19:02:57,98.62,177
1969-12-31 19:02:58,25.21,178
1969-12-31 19:02:59,6.52,179
1969-12-31 19:03:00,96.49,180
1969-12-31 19:03:01,50.9,181
1969-12-31 19:03:02,47.23,182
1969-12-31 19:03:03,69.46,183
1969-12-31 19:03:04,67.69,184
1969-12-31 19:03:05,31.11,185
1969-12-31 19:03:06,41.18,186
1969-12-31 19:03:07,63.93,187
1969-12-31 19:03:08,67.69,188
1969-12-31 19:03:09,19.76,189
1969-12-31 19:03:10,92.57,190
1969-12-31 19:03:11,28.1,191
1969-12-31 19:03:12,45.43,192
1969-12-31 19:03:13,60.94,193
1969-12-31 19:03:14,61.07,194
1969-12-31 19:03:15,14.78,195
1969-12-31 19:03:16,38.92,196
1969-12-31 19:03:17,12.43,197
1969-12-31 19:03:18,37.56,198
1969-12-31 19:03:19,90.31,199
1969-12-31 19:03:20,0.88,200
1969-12-31 19:03:21,89.74,201
1969-12-31 19:03:22,10.28,202
1969-12-31 19:03:23,66.3,203
1969-12-31 19:03:24,44.22,204
1969-12-31 19:03:25,36.44,205
1969-12-31 19:03:26,48.67,206
1969-12-31 19:03:27,8.67,207
1969-12-31 19:03:28,20.76,208
1969-12-31 19:03:29,60.34,209
1969-12-31 19:03:30,86.74,210
1969-12-31 19:03:31,43.58,211
1969-12-31 19:03:32,19.57,212
1969-12-31 19:03:33,10.33,213
1969-12-31 19:03:34,86.57,214
1969-12-31 19:03:35,49.94,215
1969-12-31 19:03:36,24.46,216
1969-12-31 19:03:37,27.42,217
1969-12-31 19:03:38,60.32,218
1969-12-31 19:03:39,2.79,219
1969-12-31 19:03:40,22.96,220
1969-12-31 19:03:41,39.07,221
1969-12-31 19:03:42,48.56,222
1969-12-31 19:03:43,45.7,223
1969-12-31 19:03:44,72.11,224
